Symbol,Company,Price
HINDMOTORS.NS,Hindustan Motors Limited,40.55
ATULAUTO.NS,Atul Auto Limited,561.4
SMLISUZU.NS,SML Isuzu Limited,2121.0
JAYBARMARU.NS,Jay Bharat Maruti Limited,112.45
LUMAXIND.NS,Lumax Industries Limited,2613.0
DHANBANK.NS,Dhanlaxmi Bank Limited,42.3
SURYODAY.NS,Suryoday Small Finance Bank Limited,197.8
FINOPB.NS,The Federal Bank Limited,279.3
YESBANK.BO,Yes Bank Limited,23.25
DCBBANK.NS,DCB Bank Limited,131.85
KERNEX.NS,Kernex Microsystems (India) Limited,466.55
OLECTRA.NS,Olectra Greentech Limited,1721.5
BBL.NS,Banco Products (India) Limited,3884.85
HONDAPOWER.NS,Honda Siel Power Products Limited,2867.0
CENTUM.NS,Centum Electronics Limited,1911.95
RANEHOLDIN.NS,Rane Holdings Limited,1283.2
PNBGILTS.NS,PNB Gilts Limited,103.95
GICHSGFIN.NS,GIC Housing Finance Limited,215.75
BFINVEST.NS,Bajaj Finance Limited,574.3
THEINVEST.NS,The Investment Trust Of India Limited,148.0
VENKEYS.NS,Venky's (India) Limited,1795.0
HERITGFOOD.NS,Heritage Foods Limited,364.55
GMBREW.NS,G M Breweries Limited,790.0
DALMIASUG.NS,Dalmia Bharat Sugar and Industries Limited,384.0
VSTIND.BO,VST Industries Limited,4037.8
3IINFOLTD.NS,3i Infotech Limited,39.25
MINDTECK.NS,Mindteck (India) Limited,314.55
QUICKHEAL.NS,Quick Heal Technologies Limited,468.0
DATAMATICS.NS,Datamatics Global Services Limited,597.0
HCL-INSYS.NS,HCL Infosystems Limited,18.5
20MICRONS.NS,20 Microns Limited,187.3
RAJMET.NS,Rajesh Exports Limited,11.75
FOSECOIND.NS,Foseco India Limited,3500.0
BODALCHEM.NS,Bodal Chemicals Limited,74.45
JINDRILL.NS,Jindal Drilling & Industries Limited,768.0
JTEKTINDIA.NS,JTEKT India Limited,165.8
WHEELS.NS,Wheels India Limited,591.0
DCAL.NS,Dishman Carbogen Amcis Limited,196.8
JAGSNPHARM.NS,Jagsonpal Pharmaceuticals Limited,356.0
TDPOWERSYS.NS,TD Power Systems Limited,327.95
IGARASHI.NS,Igarashi Motors India Limited,526.0
SASKEN.NS,Sasken Technologies Limited,1564.0
GENESYS.NS,Genesys International Corporation Limited,585.7
PCBL.NS,PCBL Limited,269.0
SARDAEN.BO,Sarda Energy & Minerals Limited,267.7
