Date,Value
3/30/2024,150
3/31/2024,150
4/1/2024,150
4/2/2024,150
4/3/2024,150
4/4/2024,150
4/5/2024,150
4/6/2024,150
4/7/2024,150
4/8/2024,150
4/9/2024,150
4/10/2024,150
4/11/2024,150
4/12/2024,150
4/13/2024,150
4/14/2024,150
4/15/2024,150
4/16/2024,150
4/17/2024,150
4/18/2024,150
4/19/2024,150
4/20/2024,150
4/21/2024,150
4/22/2024,150
4/23/2024,150
4/24/2024,150
4/25/2024,150
4/26/2024,150
4/27/2024,150
4/28/2024,150
4/29/2024,150
4/30/2024,150
5/1/2024,150
5/2/2024,150
5/3/2024,150
5/4/2024,150
5/5/2024,150
5/6/2024,150
5/7/2024,150
5/8/2024,150
